cable,1-1,cable,,,,,,米,,0,
telecommunications_equipment,1-2,telecommunications_equipment,,,,,,只,150,0,
Connector_parts,C-3C2V-1,3C2V頭+環,,,,,silver,PC,0.91,0,
Connector_parts,C-4C2V-1,4C2V頭+環,,,,,silver,PC,1.31,0,AD-0024
Connector_parts,C-5C2V-1,5C2V頭+環,,,,,silver,PC,1.35,0,AD-0024
Connector_parts,C-5C2V-Z2,5C2V鳳梨頭-夾(單管),,,,,silver,PC,2.9,,AD-0017
Connector_parts,C-5C2V-Z3,5C2V鳳梨頭(六角雙管),,,,,silver,PC,1.45,,AD-0023
Connector_parts,C-5C2V-Z4,5C2V鳳梨頭(自轉頭),,,,,silver,PC,1.1,,AD-0001
Connector_parts,C-5C2V-Z5,椎型頭,,,,,silver,PC,1.365,0,
Connector_parts,C-7C2V-1,7C2V頭+環,,,,,silver,PC,8.5,0,
telecommunications_equipment,C-AUDIO,雙影音紅白立體卡式插座,,,,,,只,288,50,
telecommunications_equipment,C-AUDIO-PRO,音響/音箱搖桿 卡式專業接頭,,,,,,只,288,50,
telecommunications_equipment,C-AUDIO-PRO PART,音響/音箱搖桿 D-SOCKET 接頭零,,,,,,只,80,50,
telecommunications_equipment,C-AUDIOSPEA,立體麥克風63卡式插座(焊）,,,,,,只,144,50,
telecommunications_equipment,C-AUDIOSPEA-D,6.3黑網絲 ,D-SOCKET PARTS,,,,,PC,100,0,
telecommunications_equipment,C-AUDIOSPEA-P,立體麥克風63零件,,,,,,只,20,50,
telecommunications_equipment,C-AUDIOSPEA-TF,立體麥克風63卡式插座(免焊）,,,,,,只,144,50,
Connector_parts,C-BNC-FF,F母頭 轉 BNC公頭,,,,,,PC,3.68,,AD-0063
telecommunications_equipment,C-BNC120,BNC 卡式插座,,,,,,只,360,33,
Connector_parts,C-CURING,5C 小環,,,,,,PC,0.4,0,
telecommunications_equipment,C-EAR35,3.5 EARPHONE 耳機卡式插座,,,,,,只,15,0,
telecommunications_equipment,C-GF-B,盲蓋出線孔,,,,,,PC,50,0,
telecommunications_equipment,C-GF003,塞蓋,,,,,,只,1.78,0,
telecommunications_equipment,C-HDMI,黑法拉 HDMI 零件,,,,,,PC,80,0,
telecommunications_equipment,C-HDMI-2,HDMI 180 轉接頭(角度可轉),,,,,,PC,0,0,
telecommunications_equipment,C-HDMI-3,HDMI 90 轉接頭(黑）,,,,,,PC,0,0,
